time_s,route_rate_bps,cumulative_key_bits,route
-600.0,0.0,0.0,No simultaneous positive-key route
-598.0,0.0,0.0,No simultaneous positive-key route
-596.0,0.0,0.0,No simultaneous positive-key route
-594.0,0.0,0.0,No simultaneous positive-key route
-592.0,0.0,0.0,No simultaneous positive-key route
-590.0,0.0,0.0,No simultaneous positive-key route
-588.0,0.0,0.0,No simultaneous positive-key route
-586.0,0.0,0.0,No simultaneous positive-key route
-584.0,0.0,0.0,No simultaneous positive-key route
-582.0,0.0,0.0,No simultaneous positive-key route
-580.0,0.0,0.0,No simultaneous positive-key route
-578.0,0.0,0.0,No simultaneous positive-key route
-576.0,0.0,0.0,No simultaneous positive-key route
-574.0,0.0,0.0,No simultaneous positive-key route
-572.0,0.0,0.0,No simultaneous positive-key route
-570.0,0.0,0.0,No simultaneous positive-key route
-568.0,0.0,0.0,No simultaneous positive-key route
-566.0,0.0,0.0,No simultaneous positive-key route
-564.0,0.0,0.0,No simultaneous positive-key route
-562.0,0.0,0.0,No simultaneous positive-key route
-560.0,0.0,0.0,No simultaneous positive-key route
-558.0,0.0,0.0,No simultaneous positive-key route
-556.0,0.0,0.0,No simultaneous positive-key route
-554.0,0.0,0.0,No simultaneous positive-key route
-552.0,0.0,0.0,No simultaneous positive-key route
-550.0,0.0,0.0,No simultaneous positive-key route
-548.0,0.0,0.0,No simultaneous positive-key route
-546.0,0.0,0.0,No simultaneous positive-key route
-544.0,0.0,0.0,No simultaneous positive-key route
-542.0,0.0,0.0,No simultaneous positive-key route
-540.0,0.0,0.0,No simultaneous positive-key route
-538.0,0.0,0.0,No simultaneous positive-key route
-536.0,0.0,0.0,No simultaneous positive-key route
-534.0,0.0,0.0,No simultaneous positive-key route
-532.0,0.0,0.0,No simultaneous positive-key route
-530.0,0.0,0.0,No simultaneous positive-key route
-528.0,0.0,0.0,No simultaneous positive-key route
-526.0,0.0,0.0,No simultaneous positive-key route
-524.0,0.0,0.0,No simultaneous positive-key route
-522.0,0.0,0.0,No simultaneous positive-key route
-520.0,0.0,0.0,No simultaneous positive-key route
-518.0,0.0,0.0,No simultaneous positive-key route
-516.0,0.0,0.0,No simultaneous positive-key route
-514.0,0.0,0.0,No simultaneous positive-key route
-512.0,0.0,0.0,No simultaneous positive-key route
-510.0,0.0,0.0,No simultaneous positive-key route
-508.0,0.0,0.0,No simultaneous positive-key route
-506.0,0.0,0.0,No simultaneous positive-key route
-504.0,0.0,0.0,No simultaneous positive-key route
-502.0,0.0,0.0,No simultaneous positive-key route
-500.0,0.0,0.0,No simultaneous positive-key route
-498.0,0.0,0.0,No simultaneous positive-key route
-496.0,0.0,0.0,No simultaneous positive-key route
-494.0,0.0,0.0,No simultaneous positive-key route
-492.0,0.0,0.0,No simultaneous positive-key route
-490.0,0.0,0.0,No simultaneous positive-key route
-488.0,0.0,0.0,No simultaneous positive-key route
-486.0,0.0,0.0,No simultaneous positive-key route
-484.0,0.0,0.0,No simultaneous positive-key route
-482.0,0.0,0.0,No simultaneous positive-key route
-480.0,0.0,0.0,No simultaneous positive-key route
-478.0,0.0,0.0,No simultaneous positive-key route
-476.0,0.0,0.0,No simultaneous positive-key route
-474.0,0.0,0.0,No simultaneous positive-key route
-472.0,0.0,0.0,No simultaneous positive-key route
-470.0,0.0,0.0,No simultaneous positive-key route
-468.0,0.0,0.0,No simultaneous positive-key route
-466.0,0.0,0.0,No simultaneous positive-key route
-464.0,0.0,0.0,No simultaneous positive-key route
-462.0,0.0,0.0,No simultaneous positive-key route
-460.0,0.0,0.0,No simultaneous positive-key route
-458.0,0.0,0.0,No simultaneous positive-key route
-456.0,0.0,0.0,No simultaneous positive-key route
-454.0,0.0,0.0,No simultaneous positive-key route
-452.0,0.0,0.0,No simultaneous positive-key route
-450.0,0.0,0.0,No simultaneous positive-key route
-448.0,0.0,0.0,No simultaneous positive-key route
-446.0,0.0,0.0,No simultaneous positive-key route
-444.0,0.0,0.0,No simultaneous positive-key route
-442.0,0.0,0.0,No simultaneous positive-key route
-440.0,0.0,0.0,No simultaneous positive-key route
-438.0,0.0,0.0,No simultaneous positive-key route
-436.0,0.0,0.0,No simultaneous positive-key route
-434.0,0.0,0.0,No simultaneous positive-key route
-432.0,0.0,0.0,No simultaneous positive-key route
-430.0,0.0,0.0,No simultaneous positive-key route
-428.0,0.0,0.0,No simultaneous positive-key route
-426.0,0.0,0.0,No simultaneous positive-key route
-424.0,0.0,0.0,No simultaneous positive-key route
-422.0,0.0,0.0,No simultaneous positive-key route
-420.0,0.0,0.0,No simultaneous positive-key route
-418.0,0.0,0.0,No simultaneous positive-key route
-416.0,0.0,0.0,No simultaneous positive-key route
-414.0,0.0,0.0,No simultaneous positive-key route
-412.0,0.0,0.0,No simultaneous positive-key route
-410.0,0.0,0.0,No simultaneous positive-key route
-408.0,0.0,0.0,No simultaneous positive-key route
-406.0,0.0,0.0,No simultaneous positive-key route
-404.0,0.0,0.0,No simultaneous positive-key route
-402.0,0.0,0.0,No simultaneous positive-key route
-400.0,0.0,0.0,No simultaneous positive-key route
-398.0,0.0,0.0,No simultaneous positive-key route
-396.0,0.0,0.0,No simultaneous positive-key route
-394.0,0.0,0.0,No simultaneous positive-key route
-392.0,0.0,0.0,No simultaneous positive-key route
-390.0,0.0,0.0,No simultaneous positive-key route
-388.0,0.0,0.0,No simultaneous positive-key route
-386.0,0.0,0.0,No simultaneous positive-key route
-384.0,0.0,0.0,No simultaneous positive-key route
-382.0,0.0,0.0,No simultaneous positive-key route
-380.0,0.0,0.0,No simultaneous positive-key route
-378.0,0.0,0.0,No simultaneous positive-key route
-376.0,0.0,0.0,No simultaneous positive-key route
-374.0,0.0,0.0,No simultaneous positive-key route
-372.0,0.0,0.0,No simultaneous positive-key route
-370.0,0.0,0.0,No simultaneous positive-key route
-368.0,0.0,0.0,No simultaneous positive-key route
-366.0,0.0,0.0,No simultaneous positive-key route
-364.0,0.0,0.0,No simultaneous positive-key route
-362.0,0.0,0.0,No simultaneous positive-key route
-360.0,0.0,0.0,No simultaneous positive-key route
-358.0,0.0,0.0,No simultaneous positive-key route
-356.0,0.0,0.0,No simultaneous positive-key route
-354.0,0.0,0.0,No simultaneous positive-key route
-352.0,0.0,0.0,No simultaneous positive-key route
-350.0,0.0,0.0,No simultaneous positive-key route
-348.0,0.0,0.0,No simultaneous positive-key route
-346.0,0.0,0.0,No simultaneous positive-key route
-344.0,0.0,0.0,No simultaneous positive-key route
